Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
5350805.21,5350805.21,Ontario,F,1679,1507,T,11.4,518,509,2.3,731
5350806,5350806,Ontario,F,1559,1625,F,-4.1,573,538,62.46,25
5350807,5350807,Ontario,F,2403,2365,F,1.6,897,856,119.47,20.1
5350810.01,5350810.01,Ontario,F,3888,3940,F,-1.3,1793,1715,0.61,6401.1
5350810.02,5350810.02,Ontario,F,2404,2420,F,-0.7,1009,992,0.78,3067.5
5350810.03,5350810.03,Ontario,F,3092,3199,F,-3.3,1213,1208,1.07,2894.9
5350810.04,5350810.04,Ontario,F,5479,5682,F,-3.6,2140,2116,2.54,2160.2
5350810.05,5350810.05,Ontario,F,3602,3819,F,-5.7,1383,1374,3.34,1079.8
5350811,5350811,Ontario,F,3752,3759,F,-0.2,1622,1608,3.56,1054.6
5350812,5350812,Ontario,F,6159,5878,F,4.8,2179,2131,1.55,3971.5
5350820.03,5350820.03,Ontario,F,3888,4039,F,-3.7,1127,1114,1.16,3363.3
5350820.04,5350820.04,Ontario,F,2764,2743,T,0.8,763,753,0.47,5889.6
5350820.05,5350820.05,Ontario,F,2229,2254,T,-1.1,630,624,1.01,2213.3
5350820.06,5350820.06,Ontario,F,1927,1930,T,-0.2,830,814,1.63,1183.2
5350820.07,5350820.07,Ontario,F,4002,4537,T,-11.8,1286,1262,1.33,3017.2
5350830,5350830,Ontario,F,4596,4312,F,6.6,1705,1588,186.55,24.6
5350831.01,5350831.01,Ontario,F,5750,5823,F,-1.3,2058,2031,12.1,475.3
5350831.02,5350831.02,Ontario,F,6780,6510,F,4.1,2661,2627,17.59,385.4
5350832,5350832,Ontario,F,4050,3978,F,1.8,1522,1417,204.71,19.8
,,,,,,,,,,,
Note:,,,,,,,,,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2016",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,
2011 adjusted population flag,T = adjusted figure due to boundary change.,,,,,,,,,,
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm.",,,,,,,,,,,
,,,,,,,,,,,
"Source: Statistics Canada, 2016 Census of Population.",,,,,,,,,,,
"How to cite: Statistics Canada. 2017. Population and dwelling counts, for census metropolitan areas, tracted census agglomerations and census tracts, 2016 and 2011 censuses (table). Population and Dwelling Count Highlight Tables. 2016 Census.",,,,,,,,,,,
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017.",,,,,,,,,,,
"http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/Tables/File.cfm?T=1601&SR=1&RPP=9999&PR=0&CMA=535&CSD=0&S=94&O=A&Lang=Eng&OFT=CSV (accessed October 11, 2022)",,,,,,,,,,,
